Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
GlcCer(d18:2/21:0),1.73261786928587e-5,2.0330201944865e-5,2.08520872615178e-5,4.42877039206935e-5,1.66399218964384e-5,1.08531692964677e-5,3.84372910268198e-5,5.16133783180309e-5,2.87260433464796e-5,4.92472475138846e-5,4.85640616295234e-5,3.69745027800943e-5
GlcCer(t16:0(15Me)/22:0(2OH[R])),1.77961390536906e-5,1.12959294108035e-5,1.52959792040369e-5,2.72554039113449e-5,1.47437422330367e-5,1.62497167725686e-5,5.60774673412855e-5,7.85180891311828e-5,9.53943689671854e-5,3.04720344798427e-5,8.55738757708629e-5,4.3205578823278e-5
GPCho(14:0/18:1(9E)),2.56889296856374e-4,2.94393917597749e-4,2.50328843449951e-4,3.17085333118453e-4,2.67624479223649e-4,2.61370608212002e-4,1.53283379911114e-4,9.92194659740324e-5,8.31613351568553e-5,1.80377682841696e-4,1.12520118163543e-4,1.40867978072372e-4
GPCho(15:0/15:1(9Z)),1.37023640798813e-5,1.04995313729357e-5,8.24046600438918e-6,8.74204910838337e-6,8.43898398793164e-6,9.50454620069688e-6,2.80770468349201e-6,0,1.33481612216784e-6,4.19542049138097e-6,1.79077441161853e-6,4.88850167115921e-6
"GPCho(15:0/20:4(5Z,8Z,11Z,14Z))",7.35220784331569e-5,1.4144509704138e-4,1.09832278479139e-4,1.36901835142364e-4,1.30637753162744e-4,1.47490256544279e-4,2.34264521711422e-4,9.53918609125557e-5,1.23340720184772e-4,2.12072080309502e-4,1.47815262924392e-4,2.40614864349615e-4
GPCho(15:1(9Z)/15:0),3.74797862762111e-6,5.04454785178384e-6,3.16085061141284e-6,4.19144581435619e-6,3.16991720352413e-6,5.13658911123367e-6,5.16339513988005e-6,2.46201634656873e-6,2.25144115188817e-6,6.34467397438817e-6,3.04073156790366e-6,5.25910985860787e-6
"GPCho(15:1(9Z)/20:4(5Z,8Z,11Z,14Z))",6.44944812859851e-5,8.97425468331663e-5,6.00933066523217e-5,7.4172149180047e-5,5.87062409184657e-5,6.55897494629889e-5,4.56227950005187e-5,1.33885165436131e-5,1.56374999630829e-5,4.02554782235357e-5,2.78593675566205e-5,3.62275200198083e-5
GPCho(16:0/15:1(9Z)),1.51300583805362e-5,2.05931094833173e-5,1.49678602394721e-5,1.36956132215946e-5,1.52596889145662e-5,1.62596371768506e-5,4.09735094903299e-5,1.76931113120849e-5,2.20212784221354e-5,3.63175787216215e-5,2.61196493051165e-5,3.69195704330443e-5
GPCho(17:0/17:0),2.67190585897121e-4,3.17904337920667e-4,3.56181288742454e-4,3.48430593580079e-4,3.59838024313874e-4,3.30831811377025e-4,5.57363382475685e-5,3.68995603437612e-5,4.18230262211075e-5,7.85459016725659e-5,4.23747485284337e-5,5.5752228729579e-5
GPCho(17:0/18:0),8.12717405127465e-5,1.14166306099328e-4,9.61405285658544e-5,1.21470476907523e-4,1.18261695264092e-4,9.87458505884982e-5,1.901580288838e-5,1.06355780134916e-5,1.23858873454416e-5,1.98424531633335e-5,1.26604124963554e-5,1.58725090639658e-5
GPCho(17:1(9Z)/18:1(11E)),0.00106073077733886,0.00120988164954669,0.00106167021092623,0.0011350574317014,8.09924847315161e-4,0.00106837860010281,0.0012134578397069,6.91256037805589e-4,7.2200374250603e-4,0.00125124860940118,9.13980426138427e-4,9.68760801675487e-4
"GPCho(17:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",7.5364869114497e-4,7.38293313840138e-4,8.23790986907231e-4,9.85639452319675e-4,8.89149514900125e-4,9.41964528021076e-4,0.00103647054928059,0.00102698500530462,0.00118302461461008,0.0011741881076428,9.14303439358237e-4,0.00119643165080184
GPCho(18:0/18:0),9.19377795410696e-5,4.90650206591936e-5,5.40724472345367e-5,2.9864091828118e-5,3.44362545227486e-5,3.73386515264821e-5,4.39376802344782e-5,1.28725485912133e-5,1.49548980086689e-5,3.62354928815779e-5,2.57044103404011e-5,2.34804173494862e-5
